run,demand,policy,step,avg_wait_time,avg_journey_time,stair_switch_rate,elevator_utilization,avg_student_wait,avg_faculty_wait,avg_staff_wait,equity_student_faculty,equity_student_staff
71,medium,Zone batching,10800,47.57142857142857,74.15264187866927,0.17416829745596868,0.3080952380952381,47.170124481327804,48.16129032258065,47.89958158995816,0.9794198653189296,0.9847711173163299
72,high,Zone batching,10800,54.550943396226415,86.60754716981133,0.2691823899371069,0.3585714285714286,56.69548872180451,45.12244897959184,51.37850467289719,1.256480754124116,1.103486547200197
73,low,FCFS,10800,28.265822784810126,48.28481012658228,0.04430379746835443,0.2261904761904762,31.696629213483146,21.11111111111111,27.160550458715598,1.5014192785334122,1.1670098241073004
74,medium,FCFS,10800,38.002197802197806,64.96923076923076,0.06813186813186813,0.30857142857142855,40.28251121076233,29.566666666666666,36.73762376237624,1.362429916936719,1.096492017864707
75,high,FCFS,10800,41.3979721166033,74.87832699619771,0.08745247148288973,0.3932380952380952,46.17272727272727,23.745454545454546,32.40217391304348,1.9444869831546707,1.4249885639352262
76,low,Priority-based,10800,39.07046979865772,61.26845637583892,0.20469798657718122,0.21714285714285714,54.50769230769231,44.125,34.07373271889401,1.2353018086729135,1.5996983000769855
77,medium,Priority-based,10800,46.52609603340292,73.22755741127348,0.14822546972860126,0.3219047619047619,45.7436974789916,47.41379310344828,47.283018867924525,0.9647761650114591,0.9674445197073244
78,high,Priority-based,10800,52.09825870646766,83.3818407960199,0.19776119402985073,0.38476190476190475,51.41530054644809,41.96363636363636,56.76,1.2252346317394476,0.9058368665688529
79,low,Zone batching,10800,31.10544217687075,50.374149659863946,0.11224489795918367,0.23238095238095238,34.529411764705884,47.07142857142857,28.952830188679247,0.7335535124520218,1.1926092039944032
80,medium,Zone batching,10800,43.15923566878981,69.76008492569002,0.15074309978768577,0.29428571428571426,44.858333333333334,42.0,41.292929292929294,1.0680555555555555,1.0863441780821919
81,high,Zone batching,10800,51.08574879227053,83.15942028985508,0.18840579710144928,0.39476190476190476,48.71731448763251,40.25423728813559,60.83743842364532,1.2102406546401339,0.8007785296347691
82,low,FCFS,10800,23.530201342281877,43.87919463087248,0.010067114093959731,0.2538095238095238,23.971830985915492,22.307692307692307,23.457943925233646,1.0745993200582806,1.0219067392402221
83,medium,FCFS,10800,33.418219461697724,61.175983436853,0.051759834368530024,0.32,35.6328125,29.166666666666668,31.12807881773399,1.2216964285714285,1.1447160844279158
84,high,FCFS,10800,43.6374695863747,76.85279805352798,0.10340632603406326,0.38333333333333336,48.240574506283664,27.170212765957448,35.42660550458716,1.7754949113510823,1.3617046798355352
85,low,Priority-based,10800,40.15909090909091,63.006493506493506,0.18506493506493507,0.21857142857142858,47.144329896907216,44.666666666666664,36.2279792746114,1.0554700723188184,1.3013237514449503
